parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-1.856	0.267	-2.363	-1.399	0.004	0.003	4149.0	2342.0	1.0	AG_FITB
b[1]	-1.031	0.135	-1.295	-0.8	0.002	0.001	5272.0	2842.0	1.0	AG_Matching
b[2]	-2.509	0.323	-3.108	-1.933	0.005	0.004	4416.0	2834.0	1.0	AG_Matching
b[3]	-1.733	0.232	-2.173	-1.309	0.004	0.003	4195.0	2466.0	1.0	AG_FITB
b[4]	-0.985	0.198	-1.343	-0.619	0.003	0.002	4727.0	2528.0	1.0	AG_Matching
b[5]	0.224	0.097	0.039	0.4	0.001	0.001	6214.0	3093.0	1.0	AG_FITB
b[6]	-2.426	0.324	-2.999	-1.837	0.006	0.004	3559.0	2527.0	1.0	AG_Matching
b[7]	-0.425	0.135	-0.691	-0.184	0.002	0.001	6367.0	2822.0	1.0	AG_FITB
b[8]	-1.997	0.231	-2.43	-1.592	0.004	0.003	4769.0	2366.0	1.0	HA_Pulldown
b[9]	-1.765	0.195	-2.148	-1.433	0.003	0.002	4245.0	2772.0	1.0	HA_MC
b[10]	-0.467	0.139	-0.714	-0.208	0.002	0.002	5556.0	3189.0	1.0	HA_MC
b[11]	-0.437	0.119	-0.66	-0.222	0.002	0.001	5794.0	3325.0	1.0	HA_MC
b[12]	-0.987	0.155	-1.279	-0.698	0.002	0.002	5018.0	2340.0	1.0	HA_FITB
b[13]	-0.455	0.105	-0.663	-0.271	0.002	0.001	4488.0	2421.0	1.0	HA_FITB
b[14]	-1.424	0.168	-1.75	-1.134	0.003	0.002	4177.0	2642.0	1.0	HA_FITB
b[15]	-2.175	0.308	-2.759	-1.657	0.005	0.004	4352.0	2600.0	1.0	HA_MC
b[16]	-0.11	0.091	-0.283	0.054	0.001	0.001	7203.0	2998.0	1.0	HA_MC
b[17]	0.577	0.101	0.382	0.764	0.001	0.001	6287.0	3295.0	1.0	HA_MCMS
b[18]	-0.795	0.116	-1.013	-0.588	0.002	0.001	5583.0	2851.0	1.0	HA_MC
a[0]	0.777	0.118	0.556	1.001	0.002	0.001	4398.0	2566.0	1.0	AG_FITB
a[1]	0.984	0.127	0.753	1.224	0.002	0.001	5746.0	2655.0	1.0	AG_Matching
a[2]	1.074	0.17	0.752	1.385	0.002	0.002	4812.0	2835.0	1.0	AG_Matching
a[3]	0.975	0.144	0.698	1.239	0.002	0.002	4317.0	2634.0	1.0	AG_FITB
a[4]	0.593	0.092	0.416	0.763	0.001	0.001	5007.0	2824.0	1.0	AG_Matching
a[5]	0.926	0.118	0.702	1.144	0.001	0.001	7777.0	3245.0	1.0	AG_FITB
a[6]	1.006	0.159	0.718	1.301	0.002	0.002	3824.0	2489.0	1.0	AG_Matching
a[7]	0.766	0.117	0.561	1.0	0.001	0.001	5980.0	2911.0	1.0	AG_FITB
a[8]	1.261	0.184	0.925	1.599	0.003	0.002	4966.0	2184.0	1.0	HA_Pulldown
a[9]	1.174	0.159	0.888	1.481	0.002	0.002	4123.0	2585.0	1.0	HA_MC
a[10]	0.665	0.098	0.487	0.848	0.001	0.001	6135.0	2834.0	1.0	HA_MC
a[11]	0.795	0.107	0.6	1.006	0.001	0.001	6103.0	2904.0	1.0	HA_MC
a[12]	0.979	0.138	0.717	1.236	0.002	0.001	6204.0	2628.0	1.0	HA_FITB
a[13]	1.075	0.139	0.828	1.344	0.002	0.001	5369.0	2535.0	1.0	HA_FITB
a[14]	1.401	0.201	1.027	1.774	0.003	0.002	4574.0	2446.0	1.0	HA_FITB
a[15]	0.919	0.145	0.654	1.192	0.002	0.002	4215.0	2441.0	1.0	HA_MC
a[16]	1.031	0.127	0.783	1.264	0.001	0.001	8847.0	2931.0	1.0	HA_MC
a[17]	1.067	0.133	0.822	1.312	0.002	0.001	5976.0	3073.0	1.0	HA_MCMS
a[18]	1.08	0.132	0.84	1.331	0.002	0.001	5850.0	3156.0	1.0	HA_MC
