parameter	mean	sd	hdi_3%	hdi_97%	mcse_mean	mcse_sd	ess_bulk	ess_tail	r_hat	question_type
b[0]	-1.149	0.122	-1.382	-0.935	0.002	0.002	3194.0	2861.0	1.0	AG_Matching
b[1]	-0.336	0.091	-0.516	-0.178	0.001	0.001	4293.0	3136.0	1.0	AG_Matching
b[2]	0.145	0.113	-0.059	0.356	0.002	0.001	4586.0	3333.0	1.0	AG_FITB
b[3]	0.158	0.129	-0.104	0.385	0.002	0.001	5788.0	2894.0	1.0	HA_FITB
b[4]	-0.89	0.149	-1.179	-0.629	0.003	0.002	3756.0	2742.0	1.0	HA_MC
b[5]	-0.628	0.115	-0.837	-0.413	0.002	0.001	3617.0	2957.0	1.0	HA_Pulldown
b[6]	-0.478	0.088	-0.645	-0.315	0.002	0.001	3460.0	3245.0	1.0	HA_MCMS
b[7]	-0.782	0.096	-0.97	-0.613	0.002	0.001	3266.0	2991.0	1.0	HA_MC
b[8]	-0.999	0.091	-1.169	-0.827	0.002	0.001	3317.0	2833.0	1.0	HA_MCMS
b[9]	-0.695	0.202	-1.073	-0.333	0.003	0.002	4188.0	2955.0	1.0	HA_FITB
b[10]	-0.978	0.131	-1.224	-0.737	0.002	0.002	3400.0	2538.0	1.0	HA_MC
b[11]	-1.072	0.127	-1.313	-0.847	0.002	0.002	2930.0	2810.0	1.0	HA_Pulldown
b[12]	-0.454	0.182	-0.816	-0.141	0.003	0.002	4292.0	2447.0	1.0	HA_MC
a[0]	1.587	0.213	1.182	1.99	0.003	0.002	3695.0	3135.0	1.0	AG_Matching
a[1]	1.412	0.175	1.082	1.733	0.002	0.002	5151.0	3304.0	1.0	AG_Matching
a[2]	1.051	0.156	0.778	1.364	0.002	0.001	6601.0	3241.0	1.0	AG_FITB
a[3]	0.864	0.141	0.613	1.146	0.002	0.001	7331.0	3302.0	1.0	HA_FITB
a[4]	1.043	0.151	0.763	1.315	0.002	0.002	4200.0	3253.0	1.0	HA_MC
a[5]	1.194	0.16	0.918	1.515	0.002	0.002	4695.0	3022.0	1.0	HA_Pulldown
a[6]	1.653	0.208	1.252	2.025	0.003	0.002	5893.0	3400.0	1.0	HA_MCMS
a[7]	1.812	0.236	1.364	2.252	0.003	0.002	4640.0	2943.0	1.0	HA_MC
a[8]	2.434	0.34	1.833	3.087	0.005	0.003	5444.0	3420.0	1.0	HA_MCMS
a[9]	0.715	0.127	0.489	0.964	0.002	0.001	4504.0	3186.0	1.0	HA_FITB
a[10]	1.257	0.166	0.956	1.569	0.002	0.002	4483.0	3278.0	1.0	HA_MC
a[11]	1.482	0.203	1.113	1.869	0.003	0.002	3875.0	2545.0	1.0	HA_Pulldown
a[12]	0.618	0.11	0.412	0.819	0.002	0.001	4824.0	3084.0	1.0	HA_MC
